country,host_uni,ntu_code,ntu_name,ntu_type,foreign_code,foreign_name,au,status,year,sem,assessment,contact_hours,credits,comments,coordinator_remarks,staff,url,syllabus,textbooks
CHINA,Tsinghua University,BDE,BDE,BDE,40511373,Mathematics of Risk (1) / Actuarial Science (1),3,Approved,2024,2,NA,48,3,Available in 2025 Spring,,??? Feng Runhuan ( fengrh@sem.tsinghua.edu.cn ),https://www.tsinghua.edu.cn/en/pdf/2018-2019UndergraduateEnglishTaughtCourses.pdf,"The course provides an introduction to the basic theory and models used in the study of risk, insurance and personal finance. Topics include interest, loan, mortgage, mortality table, mathematics for life insurance, annuities, loss prediction, mathematics for property and casualty insurance, etc.",NA
CHINA,Tsinghua University,BDE,BDE,BDE,40511423,Investment,4,Approved,2024,2,"3problemsets(30%),finalexam(40%),casestudy(20%), Classparticipation(10%)",48,3,Spring 2025,,Zhu Yingzi ( zhuyz@sem.tsinghua.edu.cn ),https://masonabroad.gmu.edu/_customtags/ct_FileRetrieve.cfm?File_ID=01067577744F07060C06717305061C70097A7714737D73046E07030406777402750005737004060001,"This course will introduce and delineate basic concepts and techniques in investments by examining such topics as risk-return tradeoff, optimal portfolio construction, Capital Asset Pricing model, APT, Market efficiency, bonds and futures. On the theoretical side, this course introduces fundamental knowledge for investment strategies and portfolio management. On the practical side, this course covers recent topics that are related to the investment strategies and portfolio management. Some projects of portfolio management are specially designed to let you apply the theoretical knowledge to practice. This course introduces the theory and practice of investment management. It provides you with fundamental knowledge of financial markets and asset pricing, and recent development of investment tools and strategies. This course is highly recommended for students who intend to pursue a finance career or further studies in derivatives, fixed income securities, or portfolio management. 1?Investment environment 2?Security markets and financial instruments 3?Investment process & mutual funds 4?RiskandReturn 5?Optimal risky portfolio 6?Capital Asset Pricing model/Arbitrage Pricing Theory 7?market efficiency 8?Bond valuation 9?Stock Valuation 10?Intro to derivatives",-
CHINA,Tsinghua University,BDE,BDE,BDE,40512182,FinTech,2,Approved,2024,2,NA,32,2,"Will take the course in 2025 Spring if available. In the given URL, scroll down and you can see the undergraduate courses taught in English for 2024 Spring",,??? ( fengrh@sem.tsinghua.edu.cn ),https://intl-nondegree.tsinghua.edu.cn/f/yzlxs/yz_lxs_kstzb/view?id=264623,NA,NA
CHINA,Tsinghua University,BDE,BDE,BDE,40920013,Stars and Planets,3,Approved,2024,2,"Problem sets, presentation, report",48,3,Offered in Spring semester 2024,,Ormel Christiaan Wessel ( chrisormel@mail.tsinghua.edu.cn ),https://www.tsinghua.edu.cn/en/pdf/ut2022.pdf,"Stars are the objects into which our universe has converted most of its (baryonic) matter. There may be over 10^22 stars in the universe and modern estimates indicate that most of these stars are (or were) accompanied by planets. This course aims to understand key questions as: why do stars have a mass of about 1 solar mass, which conditions must be met for nuclear fusion, how do planets form, what determines the size and composition of planets, how can we detect exoplanets, when is a planet system stable. The aim of this course is to understand the fundamental properties of stars and planets from elementary physical principles. This course is organized according to several modules: 1. Introduction to key Astronomy concepts 2. Matter under astrophysical conditions 3. Planet and stellar Birth 4. Planet and stellar Evolution and Death 5. Planet and stellar Atmospheres 6. Planet and stellar Dynamics Student participation and problem sets play an instrumental part throughout the course. The classical instruction will be further supplemented by presentations and a report from students on a topic of their choosing related to the field of stars and planets.",NA
CHINA,Tsinghua University,BDE,BDE,BDE,00350181,Magical Oxides,1,Approved,2024,1,Presentation,16,1,21/8/24-12/01/25,,?? ( shyang_mse@tsinghua.edu.cn ),,"This course primarily follows a group learning, classroom discussion, and guided teaching approach. It builds on students' existing knowledge and incorporates a wide range of materials encountered in daily life. The course will offer an accessible and in-depth analysis of the basic characteristics and broad applications of various oxide materials. Students will explore the interrelated scientific issues of material processing, structure, performance, and functionality, as well as material selection. The course emphasizes the important role of materials in production, daily life, scientific and technological advancements, and aims to stimulate students' curiosity, thirst for knowledge, and interest in the field of materials science. The main topics of the course include: 1. Ubiquitous Silicates I (Minerals, Gems): Classification and structural characteristics of ores, the origins of the crystalline structures of ores with various shapes, and the sources of the colors in gemstones. 2. Ubiquitous Silicates II (Glass): The material structure basis of glassblowing, the preparation and uses of tempered glass, the sources of colors in colored glass, and high-tech applications of glass beyond building windows. 3. From Tang Sancai(???) to Blue-and-White Porcelain(???) (Chinese Ceramics): The distinction between ceramics and porcelain, the ceramics manufacturing process, the historical development of ceramics, and practical sessions. 4. Where Does Sunscreen and Whitening Come From?: The multifunctionality and wide application of titanium dioxide as a simple oxide, along with its structural and performance characteristics. 4. Good News for Dental Patients: The development history of dental restoration materials, and why zirconium oxide currently holds a dominant position. The multifunctionality and wide application of zirconium dioxide as a simple oxide, along with its structural and performance characteristics. 6. Intelligent Living Aider: The broad applications and material foundations of functional oxides in fields such as Internet of Things chips, thermoelectric generation, solar energy, sensors, actuators, and electronic components. Students will gain an understanding of the materials behind new technologies and the functionalities of these materials, as well as use their imagination to think about how materials can improve life. 7. The Creation of the Impossible: Superconductivity: Cutting-edge scientific issues such as oxide high-temperature superconductivity and two-dimensional electron gases. This course is offered to undergraduate students across the entire university and is suitable for those from chemical engineering, materials science, physics, and chemistry backgrounds. Students from other departments who are interested in oxide materials are also welcome to enroll.",None
CHINA,Tsinghua University,BDE,BDE,BDE,00691422,General History of Science,3,Approved,2024,1,"Weekly assignment, end of semester exam",32,2,21/8/24-12/1/25,,??? ( gswu@tsinghua.edu.cn ),,"General History of Science will create an overall scientific image for students of different academic backgrounds, help students fully understand the origin and historical development of science, and think about the significance of science to the modern world. This course is an introductory course on the history of science. It will clearly introduce the panoramic historical picture of scientific development, telling how it was born in Greece, declined in Rome, forgotten in the Middle Ages, inherited in the Islamic world, revived and rebuilt in early modern Europe, strengthened in the 19th century, and spread to the world.",???????????????????2018?????????????????????2016??
CHINA,Tsinghua University,BDE,BDE,BDE,02090061,Shooting,3,Approved,2024,1,Test,32,1,21/8/24-12/1/25,,??? (Wang Wei Yang) ( wangweiyang@tsinghua.edu.cn ),,"History of the development of shooting sports both domestically and internationally, basic knowledge of firearms, basic principles of shooting, military rifles, air rifles, air pistols shooting basic skills, and live ammunition shooting training",None
CHINA,Tsinghua University,BDE,BDE,BDE,20700033,Logic of Politics,3,Approved,2024,1,"participation 15%, group discussion 15%, 2 reports 30%, exam 40%",48,48,050924-130125,,??? ( maxmeng@tsinghua.edu.cn ),http://zhjwe.cic.tsinghua.edu.cn/js.vjsKcbBs.do?m=showToXs&p_id=2015990086;20700033,??????????????????????????????? ????????? ?? ???????????????????? ???????????????????? ?? ????????? ??????????????????????????????? ?? ????????????????????????????? ??????????? ?? ?????????????????,nil
CHINA,Tsinghua University,BDE,BDE,BDE,30010011,A Brief History of City Abroad,1,Approved,2024,1,"Participation, end of semester exam",16,1,21/8/24-12/01/25,,Tang Yan(??) ( yantang@mail.tsinghua.edu.cn ),,"The course discusses the historical development process of foreign cities, from their origins and rise to their flourishing. It introduces the typical urban construction activities and spatial and environmental characteristics of cities from different historical periods, including ancient slave-based cities, medieval feudal cities, modern capitalist cities, and contemporary cities. The course also analyzes the influences and evolution of urban planning, institutions, and society.","The History of the City History of Urban Form Before the Industrial Revolution The City Shaped: Urban Pattern and Meaning Through History The Rise of the West World, A New Economic History The City: A Global History Historical Development of Urban Planning History of European City Planning: Continuities and Change Cities of Tomorrow: An Intellectual History of Urban Planning and Design in the Twentieth Century Comparative Urbanization: Divergent Path in the Twentieth Century Urban Planning Theory Since 1945 The Making of Urban America The American City, What Works, What Doesn't Town and Square Design of Cities"
CHINA,Tsinghua University,BDE,BDE,BDE,40701113,Introduction to Financial Economics,3,Approved,2024,1,nil,48,3,050924-130125,,?? ( ketang@tsinghua.edu.cn ),http://zhjwe.cic.tsinghua.edu.cn/js.vjsKcbBs.do?m=showToXs&p_id=2017990113;40701113,?????????????????1?????????2???? ???????????3?????????????4????? ??????????????????????????????? ?????????,nil
CHINA,Tsinghua University,BDE,BDE,BDE,80150162,Alternative Vehicle Propulsion System,2,Approved,2024,1,exam,32,2,050924-130125,,??? ( jzhzhang@mail.tsinghua.edu.cn ),http://zhjwe.cic.tsinghua.edu.cn/js.vjsKcbBs.do?m=showToXs&p_id=1999990289;80150162,"The subject of this lecture series is alternative concepts for vehicle drive-trains. These lectures deal with the different alternative drive systems, such as unconventional types of combustion engines with the consideration of alternative fuels (alcohol, natural gas, hydrogen), gas turbines, Stirling engines and fuel cells. Furthermore, these lectures discuss the different types of variable transmissions and power split drive trains. Regenerative drives e.g. electric, flywheel and hybrid drives are a main topic of these lectures. Beside the discussion of the different components (hydraulic machines, electric motors, hydraulic pressure accumulators, batteries, flywheels), possible control strategies (integrated engine-transmission management) are deducted, according to the various drive concepts. ?????????????????????????????? ???????????????????????????????? ??????????????????????????????? ??????????????????????????????? ???????????????????????????????",Alternative Vehicle Propulsion System
CHINA,Tsinghua University,BDE,BDE,BDE,80240793-0,Big Data Intelligence,3,Approved,2024,1,3 homework and one group project,48,3,050924-130125,,Zhu Wen Wu ( wwzhu@tsinghua.edu.cn ),https://learn.tsinghua.edu.cn/f/wlxt/kc/v_kcxx_jskcxx/student/beforeXskcxx?wlkcid=2024-2025-1148442634&sfgk=0,"The ever-increasing volume of media data such as videos, audio, and text has accelerated the onset of the Big Data era. One of the key reasons behind the success of data-driven machine learning methods, especially deep learning, in fields like computer vision and natural language processing is the extraction of intelligent information from Big Data. With the advent of Big Data, our thought process has shifted from the former knowledge-driven model to a data-driven paradigm. Moreover, the interaction, influence, and integration among multimodal, multidimensional, and heterogeneous data sources have endowed Big Data with more valuable information. The rapid development of artificial intelligence poses many challenges for current Big Data intelligence analysis, driving us toward a dual-driven mode of thinking that combines both data-driven and knowledge-driven approaches. Big Data Intelligence forms the foundation of today?s Big Data and AI, where discovering reliable knowledge from uncertain and complex data to guide intelligent decision-making has become an essential capability for researchers and managers alike. Consequently, it is highly important for graduate students to grasp these concepts, knowledge, and skills. This course aims to help students understand and master the theories and methods related to data science and artificial intelligence. Specifically, it seeks to enhance students? knowledge and abilities in the following three areas: 1. Mastering the theories and methods of data science. 2. Mastering the theories and methods related to artificial intelligence. 3. Integrating data science and AI theories to apply existing (or improved) algorithms for efficient Big Data processing and analysis. The course content covers fundamental data analysis and processing methods in data science (including regression analysis, probability theory, and other statistical machine learning theories) as well as predicate logic, deep learning, reinforcement learning, meta-learning, automated machine learning, and other AI theories and methods. Classroom lectures and additional assessments will be used to achieve the instructional objectives.","Sampling and ANOVA, Regression, Machine Learning, Data Mining, Recommendation System, Linear Dimensionality Reduction and Matrix Decomposition, Neural networks, Advances in Machine Learning, Big Data System and Platform, Deep learning Framework, Big Data Intelligence"
CHINA,Tsinghua University,BDE,BDE,BDE,00780461,Introduction to Piano and Music Rudiments,3,Approved,2023,2,Exam (concert format),32,1,NIL,,HUANG Yao ( mickyyao@mail.tsinghua.edu.cn ),https://acrobat.adobe.com/id/urn:aaid:sc:AP:cbf93670-54b9-4e0c-99f0-51c1cc664882,"""Introduction to Piano and Music Fundamentals"" is a digital piano teaching course for all students in the school. It starts from scratch and through practice, masters certain skills in a step-by-step learning process. While further expanding their knowledge, students can learn through their own experience. With great efforts, you can independently explore the aspects you like but have never faced before, and have an intuitive understanding of music. It is a new keyboard course developed by combining traditional piano teaching with modern high technology. It is also a new keyboard course for those who desire An introductory course for college students who want to learn to play the piano but lack basic knowledge of music.",??????????? ??????????? ????????? ?? ?????????? ?????????? ?????????
CHINA,Tsinghua University,BDE,BDE,BDE,00782321,Foundation of Vocal Music,3,Approved,2023,2,Test,32,1,There are 2 instructors for this course. The other instructor's contact details are as follows: FU Linbo (linbo112233@outlook.com),,WANG Xi ( 285629165@qq.com ),https://acrobat.adobe.com/id/urn:aaid:sc:ap:0fb1c1c9-e98e-479d-af33-f79cbeb5b6fa,"This course is for beginner level students. Vocal music is the art of practice. So always try your best singing and practicing! We welcome all students to enroll in this course! Bel Canto, pop, folk, classic, rock, R&B, no matter what kinds of music you prefer, you will always get useful tips and tons of practice in thisclass. In this course, you will first learn some basic ideas about vocal music such as pitch, note, breath and mix voice. Then I will find you some suitable songs for better practice. We will also try the verses and chorus parts in this class. So after that, you may know a bit more about your voice type. (e.g.Tenor/Soprano/Bass/Alto) Sometimes we will even invite some famous campus singers, therefore you may learn a lot from them.",1.???????????????????? 2.??????????????????????? ???? 1. ?????????????????????????????? ??? 2.???????????????????? 3.????? ????????????????????????????
CHINA,Tsinghua University,BDE,BDE,BDE,00783061,Ballet Aesthetic Education and Ballet Basic Training,3,Approved,2023,2,NIL,32,1,NIL,,ZOU Zhirui ( zhiruizou@163.com ),https://acrobat.adobe.com/id/urn:aaid:sc:AP:72db38ce-529a-4bf9-b495-4f56d4ebbbd2,"""Ballet Aesthetic Education and Basic Training of Ballet"" is a practical art elective course. It uses the art form of ballet as a carrier, and through the movement of the body, students can improve their stretch and elegant temperament, improve their aesthetic ability, and guide students to experience beauty, Appreciate beauty and create beauty. During its more than 400 years of development, ballet art has integrated into the civilizations and cultures of all countries and nations around the world, and has formed a more scientific and rigorous physical training content. The course content of this course is designed according to the characteristics of Tsinghua University students, and is open to all students with zero foundation and all majors.",NIL
CHINA,Tsinghua University,BDE,BDE,BDE,00802122,Logo Design,3,Approved,2023,2,nil,32,2,nil,,?? ( nil ),,"Logo design is a kind of symbolic art, a visual communication symbol with special meaning, which represents a specific thing and is very rich in content. Different perspectives have different classification methods and evaluation standards, which can be summarized into two categories: commercial and non-commercial. It plays a very important and irreplaceable position in ensuring credibility, establishing image, promoting products, strengthening cultural exchanges, and increasing recognition. As a special graphic symbol, logos have the function of conveying information. People can have an impression, recognition, and memory of a thing through logos. It communicates the relationship between consumers and products (including the cultural field), personal information transmission, promotion of corporate concepts, and international exchanges. It transcends language and serves as a bridge for communication. A logo is not an artistic symbol that appears alone. It is the most important and basic link in the image recognition system, the core soul of the institutional image recognition system, and the symbolic embodiment of the core values ??and corporate status. The purpose of the course is to master the design procedures and design methods of logos through practical design training on several topics on the premise of a systematic understanding of the basic theories, conception methods and expression techniques of logo design.",nil
CHINA,Tsinghua University,BDE,BDE,BDE,00803662,Exhibition Design,3,Approved,2023,2,nil,32,2,nil,,??? ( nil ),,"Exhibition design is mainly divided into three major topics: commercial display design, thematic display design and cultural display design: Among them, commercial display design involves shopping malls, supermarkets, and specialty stores. It is the main subject of studying the commercial environment exhibition design system in environmental art design education. The course focuses on explaining the business strategy, space planning, brand building and exhibition methods of specialty stores; the thematic exhibition mainly explains the expo and various types of thematic exhibitions, including a detailed description of the World Expo, with special emphasis on how to carry out the theme of thematic exhibitions Planning, competition skills, space creation, comprehensive technology, etc.; cultural display explains the display design of cultural concepts such as museums. It is an important course in this discipline involving professional museum display, with special attention to the outline arrangement, spatial rhythm, and scene creation of cultural display. , exhibition specifications, etc.",nil
CHINA,Tsinghua University,BDE,BDE,BDE,04202072,Advanced Business Chinese (1),3,Approved,2023,2,Mid-term and Final Examination,32,2,The course information can only be retrieved after logging into the Tsinghua portal. The attached supporting document is a translated version of the course information that was provided in the portal.,,HOU Jian ( houjian@mail.tsinghua.edu.cn ),https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421eaff4b8b227e6b597d469dbf915b243d1569e38ddd4b59c06f/js.vjsKcbBs.do?m=showToXs&p_id=2021640445;04202072,"???????????????????? ?????????? ???????????????????????????????? ????????????????????????????? ????????????????????????? ??1.?? ?????????????????? 2.???????????? 3. ???????????? ??1.???????????????? ??????????????????????????? 2.??? ???????????????????????????? 3.? ????????????? ???????????????? ?????????????? ?:1.??????????????? ?????? 2.???????????????? 1. This course is open to international students whose native language is not Chinese. Second, the content of economics has a strong timeliness, and any textbook is ""outdated"" when teaching, so this course relies on the topics of the textbook to supplement a large number of materials and hot spots related to business and economics during teaching. 3. Improve the level of ""Business Chinese"" from the four aspects of listening, speaking, reading and writing: Listen: 1. Listen to a few audio clips of ""business people"" talking about certain topics; 2. Tune in and watch some real-time news; 3. Listen to the recordings of the three parts of the text. 1. Express a topic about the ""Chinese economic background"". (RMB appreciation, Chinese market, advertising strategy, product competition...... ?? 2. Business language (language used in business dealings, company meetings, market inspections, etc.) ?? 3. Explain charts (bar charts, fan charts, etc.) Reading: Reading texts, economic news, economic materials (financial news, charts, advertisements...... ? Write: 1. Express views on some hot issues related to business and economy; 2. Write an IOU; Design and summarize questionnaires......",??????????? ????? ??????????
